상품 코드,상품명,상품군,정상 가격,판매 상태,최종 수정일
P0163,보온 텀블러 5,주방용품,"84,700원",판매 중,2027-05-24
P0164,노트 5,문구,"86,100원",판매 중,2027-05-27
P0165,드립백 커피 5,식품,"87,400원",판매 중,2027-05-30
P0166,에코백 5,패션잡화,"88,800원",판매 중,2027-06-02
P0167,패브릭 포스터 5,홈데코,"90,200원",판매 중,2027-06-05
P0168,산책 파우치 5,반려용품,"91,600원",판매 중,2027-06-08
P0169,USB-C 허브 5,디지털 액세서리,"92,900원",판매 중,2027-06-11
P0170,탁상용 선풍기 5,생활가전,"94,300원",판매 중단,2027-06-14
P0171,실리콘 조리도구 5,주방용품,"95,700원",판매 중,2027-06-17
P0172,젤펜 세트 5,문구,"97,100원",판매 중,2027-06-20
P0173,허브티 5,식품,"98,400원",판매 중,2027-06-23
P0174,파우치 5,패션잡화,"99,800원",판매 중,2027-06-26
P0175,디퓨저 5,홈데코,"101,200원",판매 중,2027-01-05
P0176,급수 보틀 5,반려용품,"102,500원",판매 중,2027-01-08
P0177,노트북 거치대 5,디지털 액세서리,"103,900원",판매 중,2027-01-11
P0178,전기포트 5,생활가전,"105,300원",판매 중,2027-01-14
P0179,도마 세트 5,주방용품,"106,700원",판매 중,2027-01-17
P0180,데스크 매트 5,문구,"108,000원",판매 중,2027-01-20
P0181,견과 세트 5,식품,"109,400원",판매 중,2027-01-23
P0182,카드 지갑 5,패션잡화,"110,800원",판매 중,2027-01-26
P0183,캔들 5,홈데코,"112,200원",판매 중,2027-01-29
P0184,노즈워크 매트 5,반려용품,"113,500원",판매 중,2027-02-01
P0185,블루투스 키보드 5,디지털 액세서리,"114,900원",판매 중,2027-02-04
P0186,핸디 청소기 5,생활가전,"116,300원",판매 중,2027-02-07
P0187,밀폐 용기 5,주방용품,"117,700원",판매 중단,2027-02-10
P0188,파일 홀더 5,문구,"119,000원",판매 중,2027-02-13
P0189,그래놀라 5,식품,"120,400원",판매 중,2027-02-16
P0190,양말 세트 5,패션잡화,"121,800원",판매 중,2027-02-19
P0191,미니 화병 5,홈데코,"123,100원",판매 중,2027-02-22
P0192,장난감 세트 5,반려용품,"124,500원",판매 중,2027-02-25
P0193,웹캠 5,디지털 액세서리,"125,900원",판매 중,2027-02-28
P0194,LED 스탠드 5,생활가전,"127,300원",판매 중,2027-03-03
P0195,드립포트 5,주방용품,"128,600원",판매 중,2027-03-06
P0196,메모 패드 5,문구,"130,000원",판매 중,2027-03-09
P0197,수제 쿠키 5,식품,"131,400원",판매 중,2027-03-12
P0198,캡 모자 5,패션잡화,"132,800원",판매 중,2027-03-15
P0199,쿠션 커버 5,홈데코,"134,100원",판매 중,2027-03-18
P0200,배변 봉투 5,반려용품,"135,500원",판매 중,2027-03-21
P0201,무선 충전기 6,디지털 액세서리,"136,900원",판매 중,2027-03-24
P0202,미니 가습기 6,생활가전,"138,200원",판매 중,2027-03-27
P0203,보온 텀블러 6,주방용품,"139,600원",판매 중,2027-03-30
P0204,노트 6,문구,"141,000원",판매 중단,2027-04-02
P0205,드립백 커피 6,식품,"142,400원",판매 중,2027-04-05
P0206,에코백 6,패션잡화,"143,700원",판매 중,2027-04-08
P0207,패브릭 포스터 6,홈데코,"145,100원",판매 중,2027-04-11
P0208,산책 파우치 6,반려용품,"146,500원",판매 중,2027-04-14
P0209,USB-C 허브 6,디지털 액세서리,"147,900원",판매 중,2027-04-17
P0210,탁상용 선풍기 6,생활가전,"149,200원",판매 중,2027-04-20
P0211,실리콘 조리도구 6,주방용품,"150,600원",판매 중,2027-04-23
P0212,젤펜 세트 6,문구,"7,000원",판매 중,2027-04-26
P0213,허브티 6,식품,"8,300원",판매 중,2027-04-29
P0214,파우치 6,패션잡화,"9,700원",판매 중,2027-05-02
P0215,디퓨저 6,홈데코,,판매 중,2027-05-05
P0216,급수 보틀 6,반려용품,"12,500원",판매 중,2027-05-08
P0217,노트북 거치대 6,디지털 액세서리,"13,800원",판매 중,2027-05-11
P0218,전기포트 6,생활가전,"15,200원",판매 중,2027-05-14
P0219,도마 세트 6,주방용품,"16,600원",판매 중,2027-05-17
P0220,데스크 매트 6,문구,"18,000원",판매 중,2027-05-20
P0221,견과 세트 6,식품,"19,300원",판매 중단,2027-05-23
P0222,카드 지갑 6,패션잡화,"20,700원",판매 중,2027-05-26
P0223,캔들 6,홈데코,"22,100원",판매 중,2027-05-29
P0224,노즈워크 매트 6,반려용품,"23,500원",판매 중,2027-06-01
P0225,블루투스 키보드 6,디지털 액세서리,"24,800원",판매 중,2027-06-04
P0226,핸디 청소기 6,생활가전,"26,200원",판매 중,2027-06-07
P0227,밀폐 용기 6,주방용품,"27,600원",판매 중,2027-06-10
P0228,파일 홀더 6,문구,"28,900원",판매 중,2027-06-13
P0229,그래놀라 6,식품,"30,300원",판매 중,2027-06-16
P0230,양말 세트 6,패션잡화,"31,700원",판매 중,2027-06-19
P0231,미니 화병 6,홈데코,"33,100원",판매 중,2027-06-22
P0232,장난감 세트 6,반려용품,"34,400원",판매 중,2027-06-25
P0233,웹캠 6,디지털 액세서리,"35,800원",판매 중,2027-06-28
P0234,LED 스탠드 6,생활가전,"37,200원",판매 중,2027-01-07
P0235,드립포트 6,주방용품,"38,600원",판매 중,2027-01-10
P0236,메모 패드 6,문구,"39,900원",판매 중,2027-01-13
P0237,수제 쿠키 6,식품,"41,300원",판매 중,2027-01-16
P0238,캡 모자 6,패션잡화,"42,700원",판매 중단,2027-01-19
P0239,쿠션 커버 6,홈데코,"44,000원",판매 중,2027-01-22
P0240,배변 봉투 6,반려용품,"45,400원",판매 중,2027-01-25
P0241,무선 충전기 7,디지털 액세서리,"46,800원",판매 중,2027-01-28
P0242,미니 가습기 7,생활가전,"48,200원",판매 중,2027-01-31
P0243,보온 텀블러 7,주방용품,"49,500원",판매 중,2027-02-03
P0244,노트 7,문구,"50,900원",판매 중,2027-02-06
P0245,드립백 커피 7,식품,"52,300원",판매 중,2027-02-09
P0246,에코백 7,패션잡화,"53,700원",판매 중,2027-02-12
P0247,패브릭 포스터 7,홈데코,"55,000원",판매 중,2027-02-15
P0248,산책 파우치 7,반려용품,"56,400원",판매 중,2027-02-18
P0249,USB-C 허브 7,디지털 액세서리,"57,800원",판매 중,2027-02-21
P0250,탁상용 선풍기 7,생활가전,"59,200원",판매 중,2027-02-24
P0251,실리콘 조리도구 7,주방용품,"60,500원",판매 중,2027-02-27
P0252,젤펜 세트 7,문구,"61,900원",판매 중,2027-03-02
P0253,허브티 7,식품,"63,300원",판매 중,2027-03-05
P0254,파우치 7,패션잡화,"64,600원",판매 중,2027-03-08
P0255,디퓨저 7,홈데코,"66,000원",판매 중단,2027-03-11
P0256,급수 보틀 7,반려용품,"67,400원",판매 중,2027-03-14
P0257,노트북 거치대 7,디지털 액세서리,"68,800원",판매 중,2027-03-17
P0258,전기포트 7,생활가전,"70,100원",판매 중,2027-03-20
P0259,도마 세트 7,주방용품,"71,500원",판매 중,2027-03-23
P0260,데스크 매트 7,,"72,900원",판매 중,2027-03-26
P0261,견과 세트 7,식품,"74,300원",판매 중,2027-03-29
P0262,카드 지갑 7,패션잡화,"75,600원",판매 중,2027-04-01
P0263,캔들 7,홈데코,"77,000원",판매 중,2027-04-04
P0264,노즈워크 매트 7,반려용품,"78,400원",판매 중,2027-04-07
P0265,블루투스 키보드 7,디지털 액세서리,"79,700원",판매 중,2027-04-10
P0266,핸디 청소기 7,생활가전,"81,100원",판매 중,2027-04-13
P0267,밀폐 용기 7,주방용품,"82,500원",판매 중,2027-04-16
P0268,파일 홀더 7,문구,"83,900원",판매 중,2027-04-19
P0269,그래놀라 7,식품,"85,200원",판매 중,2027-04-22
P0270,양말 세트 7,패션잡화,"86,600원",판매 중,2027-04-25
P0271,미니 화병 7,홈데코,"88,000원",판매 중,2027-04-28
P0272,장난감 세트 7,반려용품,"89,400원",판매 중단,2027-05-01
P0273,웹캠 7,디지털 액세서리,"90,700원",판매 중,2027-05-04
P0274,LED 스탠드 7,생활가전,"92,100원",판매 중,2027-05-07
P0275,드립포트 7,주방용품,"93,500원",판매 중,2027-05-10
P0276,메모 패드 7,문구,"94,800원",판매 중,2027-05-13
P0277,수제 쿠키 7,식품,"96,200원",판매 중,2027-05-16
P0278,캡 모자 7,패션잡화,"97,600원",판매 중,2027-05-19
P0279,쿠션 커버 7,홈데코,"99,000원",판매 중,2027-05-22
P0280,배변 봉투 7,반려용품,"100,300원",판매 중,2027-05-25
P0281,무선 충전기 8,디지털 액세서리,"101,700원",판매 중,2027-05-28
P0282,미니 가습기 8,생활가전,"103,100원",판매 중,2027-05-31
P0283,보온 텀블러 8,주방용품,"104,500원",판매 중,2027-06-03
P0284,노트 8,문구,"105,800원",판매 중,2027-06-06
P0285,드립백 커피 8,식품,"107,200원",판매 중,2027-06-09
P0286,에코백 8,패션잡화,"108,600원",판매 중,2027-06-12
P0287,패브릭 포스터 8,홈데코,"110,000원",판매 중,2027-06-15
P0288,산책 파우치 8,반려용품,"111,300원",판매 중,2027-06-18
P0289,USB-C 허브 8,디지털 액세서리,"112,700원",판매 중단,2027-06-21
P0290,탁상용 선풍기 8,생활가전,"114,100원",판매 중,2027-06-24
P0291,실리콘 조리도구 8,주방용품,"115,400원",판매 중,2027-06-27
P0292,젤펜 세트 8,문구,"116,800원",판매 중,2027-01-06
P0293,허브티 8,식품,"118,200원",판매 중,2027-01-09
P0294,파우치 8,패션잡화,"119,600원",판매 중,2027-01-12
P0295,디퓨저 8,홈데코,"120,900원",판매 중,2027-01-15
P0296,급수 보틀 8,반려용품,"122,300원",판매 중,2027-01-18
P0297,노트북 거치대 8,디지털 액세서리,"123,700원",판매 중,2027-01-21
P0298,전기포트 8,생활가전,"125,100원",판매 중,2027-01-24
P0299,도마 세트 8,주방용품,"126,400원",판매 중,2027-01-27
P0300,데스크 매트 8,문구,"127,800원",판매 중,2027-01-30
P0301,견과 세트 8,식품,"129,200원",판매 중,2027-02-02
P0302,카드 지갑 8,패션잡화,"130,500원",판매 중,2027-02-05
P0303,캔들 8,홈데코,"131,900원",판매 중,2027-02-08
P0304,노즈워크 매트 8,반려용품,"133,300원",판매 중,2027-02-11
P0305,블루투스 키보드 8,디지털 액세서리,"134,700원",판매 중,2027-02-14
P0306,핸디 청소기 8,생활가전,"136,000원",판매 중단,2027-02-17
P0307,밀폐 용기 8,주방용품,"137,400원",판매 중,2027-02-20
P0308,파일 홀더 8,문구,"138,800원",판매 중,2027-02-23
P0309,그래놀라 8,식품,"140,200원",판매 중,2027-02-26
P0310,양말 세트 8,패션잡화,"141,500원",판매 중,2027-03-01
P0311,미니 화병 8,홈데코,"142,900원",판매 중,2027-03-04
P0312,장난감 세트 8,반려용품,"144,300원",판매 중,2027-03-07
P0313,웹캠 8,디지털 액세서리,"145,600원",판매 중,2027-03-10
P0314,LED 스탠드 8,생활가전,"147,000원",판매 중,2027-03-13
P0315,드립포트 8,주방용품,"148,400원",판매 중,2027-03-16
P0316,메모 패드 8,문구,"149,800원",판매 중,2027-03-19
P0317,수제 쿠키 8,식품,"6,100원",판매 중,2027-03-22
P0318,캡 모자 8,패션잡화,"7,500원",판매 중,2027-03-25
P0319,쿠션 커버 8,홈데코,"8,900원",판매 중,2027-03-28
P0320,배변 봉투 8,반려용품,"10,300원",판매 중,2027-03-31
P0321,무선 충전기 9,디지털 액세서리,"11,600원",판매 중,2027-04-03
P0322,미니 가습기 9,생활가전,"13,000원",판매 중,2027-04-06
P0323,보온 텀블러 9,주방용품,"14,400원",판매 중단,2027-04-09
P0324,노트 9,문구,"15,800원",판매 중,2027-04-12
P0042,미니 가습기 2 (구형),생활가전,"63,600원",단종,2026-12-15
P0187,밀폐 용기 5 (구형),주방용품,"117,700원",단종,2026-11-28
