주문번호,주문일,상품코드,수량,판매단가,주문상태
O2027060150,2027.06.01 18:30,P0193,1,104500,결제 완료
O2027060151,06/08/2027 05:47,P0223,2,21200,배송 완료
O2027060152,2027-06-15 16:04,P0252,3,49500,배송 완료
O2027060153,2027/06/22 03:21,P0282,4,95900,결제 완료
O2027060154,2027.06.29 14:38,P0311,5,110000,배송 완료
O2027060155,06/06/2027 01:55,P0016,1,25100,배송 완료
O2027060156,2027-06-13 12:12,P0045,2,69700,결제 완료
O2027060157,2027/06/20 23:29,P0074,3,93500,배송 완료
O2027060158,2027.06.27 10:46,P0104,4,148700,배송 완료
O2027060159,06/04/2027 21:03,P0133,5,36500,결제 완료
O2027060160,2027-06-11 08:20,P0163,1,82200,배송 완료
O2027060161,2027/06/18 19:37,P0192,2,100800,배송 완료
O2027060162,2027.06.25 06:54,P0222,3,19500,결제 완료
O2027060163,06/02/2027 17:11,P0251,4,47200,배송 완료
O2027060164,2027-06-09 04:28,P0281,5,92500,배송 완료
O2027060165,2027/06/16 15:45,P0310,1,147200,결제 완료
O2027060166,2027.06.23 02:02,P0015,2,23300,배송 완료
O2027060167,06/30/2027 13:19,P0044,3,67000,배송 완료
O2027060168,2027-06-07 00:36,P0073,4,90200,결제 완료
O2027060169,2027/06/14 11:53,P0103,5,144400,배송 완료
O2027060170,2027.06.21 22:10,P0132,1,34500,배송 완료
O2027060171,06/28/2027 09:27,P0162,2,79100,결제 완료
O2027060172,2027-06-05 20:44,P0191,3,97200,배송 완료
O2027060173,2027/06/12 07:01,P0221,4,17800,배송 완료
O2027060174,2027.06.19 18:18,P0250,5,45000,결제 완료
O2027060175,06/26/2027 05:35,P0280,1,89300,배송 완료
O2027060176,2027-06-03 16:52,P0309,2,143000,배송 완료
O2027060177,2027/06/10 03:09,P0014,3,21600,결제 완료
O2027060178,2027.06.17 14:26,P0043,4,64300,배송 완료
O2027060179,06/24/2027 01:43,P0072,5,87000,배송 완료
O2027060180,2027-06-01 12:00,P0102,1,140100,결제 완료
O2027060181,2027/06/08 23:17,P0131,2,32600,배송 완료
O2027060182,2027.06.15 10:34,P0161,3,76300,배송 완료
O2027060183,06/22/2027 21:51,P0190,4,93800,결제 완료
O2027060184,2027-06-29 08:08,P0220,5,16200,배송 완료
O2027060185,2027/06/06 19:25,P0249,1,59500,배송 완료
O2027060186,2027.06.13 06:42,P0279,2,86100,결제 완료
O2027060187,06/20/2027 17:59,P0308,3,138800,배송 완료
O2027060188,2027-06-27 04:16,P0013,4,19900,배송 완료
O2027060189,2027/06/04 15:33,P0042,5,61700,결제 완료
O2027060190,2027.06.11 02:50,P0071,1,83800,배송 완료
O2027060191,06/18/2027 13:07,P0101,2,135900,배송 완료
O2027060192,2027-06-25 00:24,P0130,3,30700,결제 완료
O2027060193,2027/06/02 11:41,P0160,4,73300,배송 완료
O2027060194,2027.06.09 22:58,P0189,5,125200,배송 완료
O2027060195,06/16/2027 09:15,P0219,1,14600,결제 완료
O2027060196,2027-06-23 20:32,P0248,2,57000,배송 완료
O2027060197,2027/06/30 07:49,P0278,3,83000,배송 완료
O2027060198,2027.06.07 18:06,P0307,4,134700,결제 완료
O2027060199,06/14/2027 05:23,P0012,5,18400,배송 완료
O2027060200,2027-06-21 16:40,P0075,1,98000,배송 완료
O2027060201,2027/06/28 03:57,P0148,2,57700,결제 완료
O2027060202,2027.06.05 14:14,P0260,3,65600,배송 완료
O2027060203,06/12/2027 01:31,P0215,4,28900,배송 완료
O2027060204,2027-06-19 12:48,P0159,5,70500,결제 완료
O2027060205,2027/06/26 23:05,P0188,1,121400,배송 완료
O2027060206,2027.06.03 10:22,P0218,2,13100,배송 완료
O2027060207,06/10/2027 21:39,P0247,3,54400,결제 완료
O2027060208,2027-06-17 08:56,P0277,4,79800,배송 완료
O2027060209,2027/06/24 19:13,P0306,5,130600,배송 완료
O2027060210,2027.06.01 06:30,P0011,1,16800,결제 완료
O2027060211,06/08/2027 17:47,P0040,2,56500,배송 완료
O2027060212,2027-06-15 04:04,P0069,3,77500,배송 완료
O2027060213,2027/06/22 15:21,P0099,4,127600,결제 완료
O2027060214,2027.06.29 02:38,P0128,5,37700,배송 완료
O2027060215,06/06/2027 13:55,P0158,1,67700,배송 완료
O2027060216,2027-06-13 00:12,P0187,2,117700,결제 완료
O2027060217,2027/06/20 11:29,P0217,3,11600,배송 완료
O2027060218,2027.06.27 22:46,P0246,4,52100,배송 완료
O2027060219,06/04/2027 09:03,P0276,5,76800,결제 완료
O2027060220,2027-06-11 20:20,P0305,1,126600,배송 완료
O2027060221,2027/06/18 07:37,P0010,2,15300,배송 완료
O2027060222,2027.06.25 18:54,P0039,3,54100,결제 완료
O2027060223,06/02/2027 05:11,P0068,4,103300,배송 완료
O2027060224,2027-06-09 16:28,P0098,5,123600,배송 완료
O2027060225,2027/06/16 03:45,P0127,1,35700,결제 완료
O2027060226,2027.06.23 14:02,P0157,2,65000,배송 완료
O2027060227,06/30/2027 01:19,P0186,3,114000,배송 완료
O2027060228,2027-06-07 12:36,P0216,4,10200,결제 완료
O2027060229,2027/06/14 23:53,P0245,5,49700,배송 완료
O2027060230,2027.06.21 10:10,P0275,1,73900,배송 완료
O2027060231,06/28/2027 21:27,P0304,2,122600,결제 완료
O2027060232,2027-06-05 08:44,P0009,3,13900,배송 완료
O2027060233,2027/06/12 19:01,P0038,4,51700,배송 완료
O2027060234,2027.06.19 06:18,P0067,5,99900,결제 완료
O2027060235,06/26/2027 17:35,P0097,1,119600,배송 완료
O2027060236,2027-06-03 04:52,P0126,2,33600,배송 완료
O2027060237,2027/06/10 15:09,P0156,3,62300,결제 완료
O2027060238,2027.06.17 02:26,P0185,4,110300,배송 완료
O2027060239,06/24/2027 13:43,P0214,5,7800,배송 완료
O2027060240,2027-06-01 00:00,P0244,1,47300,결제 완료
O2027060241,2027/06/08 11:17,P0274,2,70900,배송 완료
O2027060242,2027.06.15 22:34,P0303,3,118700,배송 완료
O2027060243,06/22/2027 09:51,P0008,4,17400,결제 완료
O2027060244,2027-06-29 20:08,P0037,5,49300,배송 완료
O2027060245,2027/06/06 07:25,P0066,1,96500,배송 완료
O2027060246,2027.06.13 18:42,P0096,2,115700,결제 완료
O2027060247,06/20/2027 05:59,P0125,3,31500,배송 완료
O2027060248,2027-06-27 16:16,P0155,4,59700,배송 완료
O2027060249,2027/06/04 03:33,P0184,5,106700,결제 완료
O2027060250,2027.06.11 14:50,P0213,1,6500,배송 완료
O2027060251,06/18/2027 01:07,P0243,2,45000,배송 완료
O2027060252,2027-06-25 12:24,P0273,3,94300,결제 완료
O2027060253,2027/06/02 23:41,P0302,4,114800,배송 완료
O2027060254,2027.06.09 10:58,P0007,5,15700,배송 완료
O2027060255,06/16/2027 21:15,P0036,1,47000,결제 완료
O2027060256,2027-06-23 08:32,P0065,2,93200,배송 완료
O2027060257,2027/06/30 19:49,P0095,3,111800,배송 완료
O2027060258,2027.06.07 06:06,P0124,4,29600,결제 완료
O2027060259,06/14/2027 17:23,P0154,5,57100,배송 완료
O2027060260,2027-06-21 04:40,P0183,1,103200,배송 완료
O2027060261,2027/06/28 15:57,P0212,2,5300,결제 완료
O2027060262,2027.06.05 02:14,P0242,3,42900,배송 완료
O2027060263,06/12/2027 13:31,P0272,4,91200,배송 완료
O2027060264,2027-06-19 00:48,P0301,5,111100,결제 완료
O2027060265,2027/06/26 11:05,P0006,1,14000,배송 완료
O2027060266,2027.06.03 22:22,P0035,2,44800,배송 완료
O2027060267,06/10/2027 09:39,P0064,3,90000,결제 완료
O2027060268,2027-06-17 20:56,P0094,4,108000,배송 완료
O2027060269,2027/06/24 07:13,P0123,5,27700,배송 완료
O2027060270,2027.06.01 18:30,P0153,1,54700,결제 완료
O2027060271,06/08/2027 05:47,P0182,2,99700,배송 완료
O2027060272,2027-06-15 16:04,P0211,3,155100,배송 완료
O2027060273,2027/06/22 03:21,P0241,4,40700,결제 완료
O2027060274,2027.06.29 14:38,P0271,5,88000,배송 완료
O2027060275,06/06/2027 01:55,P0300,1,107400,배송 완료
O2027060276,2027-06-13 12:12,P0005,2,12400,결제 완료
O2027060277,2027/06/20 23:29,P0034,3,42600,배송 완료
O2027060278,2027.06.27 10:46,P0063,4,86900,배송 완료
O2027060279,06/04/2027 21:03,P0093,5,104200,결제 완료
O2027060280,2027-06-11 08:20,P0122,1,25800,배송 완료
O2027060281,2027/06/18 19:37,P0152,2,72400,배송 완료
O2027060282,2027.06.25 06:54,P0181,3,96300,결제 완료
O2027060283,06/02/2027 17:11,P0210,4,150700,배송 완료
O2027060284,2027-06-09 04:28,P0240,5,38600,배송 완료
O2027060285,2027/06/16 15:45,P0270,1,84900,결제 완료
O2027060286,2027.06.23 02:02,P0299,2,103600,배송 완료
O2027060287,06/30/2027 13:19,P0004,3,10800,배송 완료
O2027060288,2027-06-07 00:36,P0033,4,40400,결제 완료
O2027060289,2027/06/14 11:53,P0062,5,83700,배송 완료
O2027060290,2027.06.21 22:10,P0092,1,100500,배송 완료
O2027060291,06/28/2027 09:27,P0121,2,24000,결제 완료
O2027060292,2027-06-05 20:44,P0151,3,69600,배송 완료
O2027060293,2027/06/12 07:01,P0180,4,92900,배송 완료
O2027060294,2027.06.19 18:18,P0209,5,146400,결제 완료
O2027060295,06/26/2027 05:35,P0239,1,36500,배송 완료
O2027060296,2027-06-03 16:52,P0269,2,81800,배송 완료
O2027060297,2027/06/10 03:09,P0298,3,100100,결제 완료
O2027060298,2027.06.17 14:26,P0003,4,9300,배송 완료
O2027060299,06/24/2027 01:43,P0032,5,38300,배송 완료
O2027060300,2027-06-01 12:00,P0314,1,80800,결제 완료
O2027060301,2027/06/08 23:17,P0021,2,19100,결제 완료
O2027060302,2027.06.15 10:34,P0052,3,42500,결제 완료
O2027060303,06/22/2027 21:51,P0084,4,66700,결제 완료
O2027060304,2027-06-29 08:08,P0115,5,10300,결제 완료
O2027060305,2027/06/06 19:25,P0146,1,33800,결제 완료
O2027060306,2027.06.13 06:42,P0178,2,57900,결제 완료
O2027060307,06/20/2027 17:59,P0209,3,81300,결제 완료
O2027060308,2027-06-27 04:16,P0241,4,25700,결제 완료
O2027060309,2027/06/04 15:33,P0273,5,49900,결제 완료
O2027060310,2027.06.11 02:50,P0304,1,73300,결제 완료
O2027060311,06/18/2027 13:07,P0011,2,11600,결제 완료
O2027060312,2027-06-25 00:24,P0090,3,130800,결제 완료
O2027060313,2027/06/02 11:41,P0119,4,20700,배송 완료
O2027060314,2027.06.09 22:58,P0149,5,64200,배송 완료
O2027060315,06/16/2027 09:15,P0178,1,86300,결제 완료
O2027060316,2027-06-23 20:32,P0207,2,137800,배송 완료
O2027060317,2027/06/30 07:49,P0237,3,32600,배송 완료
O2027060318,2027.06.07 18:06,P0267,4,75900,결제 완료
O2027060319,06/14/2027 05:23,P0296,5,92900,배송 완료
O2027060320,2027-06-21 16:40,P0001,1,6500,배송 완료
O2027060321,2027/06/28 03:57,P0030,2,48000,결제 완료
O2027060322,2027.06.05 14:14,P0059,3,74700,배송 완료
O2027060323,06/12/2027 01:31,P0089,4,126800,배송 완료
O2027060324,2027-06-19 12:48,P0118,5,19000,결제 완료
O2027060325,2027/06/26 23:05,P0147,1,60200,배송 완료
O2027060326,2027.06.03 10:22,P0177,2,83100,배송 완료
O2027060327,06/10/2027 21:39,P0206,3,133600,결제 완료
O2027060328,2027-06-17 08:56,P0236,4,30700,배송 완료
O2027060329,2027/06/24 19:13,P0266,5,73000,배송 완료
O2027060330,2027.06.01 06:30,P0295,1,124500,결제 완료
O2027060331,06/08/2027 17:47,P0324,2,13700,배송 완료
O2027060332,2027-06-15 04:04,P0029,3,45700,배송 완료
O2027060333,2027/06/22 15:21,P0058,4,71800,결제 완료
O2027060334,2027.06.29 02:38,P0088,5,122900,배송 완료
O2027060335,06/06/2027 13:55,P0117,1,17400,배송 완료
O2027060336,2027-06-13 00:12,P0146,2,57700,결제 완료
O2027060337,2027/06/20 11:29,P0176,3,80000,배송 완료
O2027060338,2027.06.27 22:46,P0205,4,129600,배송 완료
O2027060339,06/04/2027 09:03,P0235,5,40100,결제 완료
O2027060340,2027-06-11 20:20,P0265,1,70100,배송 완료
O2027060341,2027/06/18 07:37,P0294,2,120800,배송 완료
O2027060342,2027.06.25 18:54,P0323,3,12200,결제 완료
O2027060343,06/02/2027 05:11,P0028,4,43400,배송 완료
O2027060344,2027-06-09 16:28,P0057,5,69000,배송 완료
O2027060345,2027/06/16 03:45,P0087,1,119100,결제 완료
O2027060346,2027.06.23 14:02,P0116,2,16000,배송 완료
O2027060347,06/30/2027 01:19,P0145,3,55200,배송 완료
O2027060348,2027-06-07 12:36,P0175,4,76900,결제 완료
O2027060349,2027/06/14 23:53,P0204,5,125500,배송 완료
O2027060350,2027.06.21 10:10,P0234,1,37900,배송 완료
O2027060351,06/28/2027 21:27,P0264,2,67400,결제 완료
O2027060352,2027-06-05 08:44,P0293,3,117000,배송 완료
O2027060353,2027/06/12 19:01,P0322,4,10800,배송 완료
O2027060354,2027.06.19 06:18,P0027,5,41300,결제 완료
O2027060355,06/26/2027 17:35,P0056,1,66200,배송 완료
O2027060356,2027-06-03 04:52,P0086,2,115300,배송 완료
O2027060357,2027/06/10 15:09,P0115,3,14500,결제 완료
O2027060358,2027.06.17 02:26,P0144,4,52700,배송 완료
O2027060359,06/24/2027 13:43,P0174,5,102800,배송 완료
O2027060360,2027-06-01 00:00,P0203,1,121500,결제 완료
O2027060361,2027/06/08 11:17,P0233,2,35800,배송 완료
O2027060362,2027.06.15 22:34,P0263,3,64700,배송 완료
O2027060363,06/22/2027 09:51,P0292,4,113300,결제 완료
O2027060364,2027-06-29 20:08,P0321,5,9400,배송 완료
O2027060365,2027/06/06 07:25,P0026,1,39100,배송 완료
O2027060366,2027.06.13 18:42,P0055,2,63500,결제 완료
O2027060367,06/20/2027 05:59,P0085,3,111600,배송 완료
O2027060368,2027-06-27 16:16,P0114,4,18100,배송 완료
O2027060369,2027/06/04 03:33,P0143,5,50300,결제 완료
O2027060370,2027.06.11 14:50,P0173,1,99400,배송 완료
O2027060371,06/18/2027 01:07,P0202,2,117500,배송 완료
O2027060372,2027-06-25 12:24,P0232,3,33700,결제 완료
O2027060373,2027/06/02 23:41,P0262,4,62000,배송 완료
O2027060374,2027.06.09 10:58,P0291,5,109600,배송 완료
O2027060375,06/16/2027 21:15,P0320,1,8100,결제 완료
O2027060376,2027-06-23 08:32,P0025,2,37000,배송 완료
O2027060377,2027/06/30 19:49,P0054,3,60800,배송 완료
O2027060378,2027.06.07 06:06,P0084,4,107900,결제 완료
O2027060379,06/14/2027 17:23,P0113,5,16300,배송 완료
O2027060380,2027-06-21 04:40,P0142,1,48100,배송 완료
O2027060381,2027/06/28 15:57,P0172,2,96100,결제 완료
O2027060382,2027.06.05 02:14,P0201,3,113600,배송 완료
O2027060383,06/12/2027 13:31,P0231,4,31800,배송 완료
O2027060384,2027-06-19 00:48,P0261,5,59400,결제 완료
O2027060385,2027/06/26 11:05,P0290,1,106100,배송 완료
O2027060386,2027.06.03 22:22,P0319,2,6900,배송 완료
O2027060387,06/10/2027 09:39,P0024,3,35000,결제 완료
O2027060388,2027-06-17 20:56,P0053,4,81100,배송 완료
O2027060389,2027/06/24 07:13,P0083,5,104300,배송 완료
O2027060390,2027.06.01 18:30,P0112,1,14700,결제 완료
O2027060391,06/08/2027 05:47,P0141,2,45800,배송 완료
O2027060392,2027-06-15 16:04,P0171,3,92800,배송 완료
O2027060393,2027/06/22 03:21,P0200,4,109800,결제 완료
O2027060394,2027.06.29 14:38,P0230,5,29800,배송 완료
O2027060395,06/06/2027 01:55,P0259,1,55800,배송 완료
O2027060396,2027-06-13 12:12,P0289,2,102600,결제 완료
O2027060397,2027/06/20 23:29,P0318,3,7800,배송 완료
O2027060398,2027.06.27 10:46,P0023,4,33000,배송 완료
O2027060399,06/04/2027 21:03,P0052,5,78100,결제 완료
O2027060400,2027-06-31 09:15,P0082,1,100700,배송 완료
O2027060401,2027/06 14:20,P0111,2,13000,배송 완료
O2027060402,2027.06.25 06:54,P0140,두 개,43500,결제 완료
O2027060403,06/02/2027 17:11,P0170,-1,89600,배송 완료
O2027060404,2027-06-09 04:28,P0199,5,105900,배송 완료
O2027060405,2027/06/16 15:45,P0229,1,27900,결제 완료
O2027060406,2027.06.23 02:02,P0258,2,53300,배송 완료
O2027060407,06/30/2027 13:19,P0288,3,99100,배송 완료
O2027060408,2027-06-07 00:36,P0317,4,6200,결제 완료
O2027060409,2027/06/14 11:53,P0022,5,31000,배송 완료
O2027060410,2027.06.21 22:10,P0051,1,75100,배송 완료
O2027060411,06/28/2027 09:27,P0081,2,97200,결제 완료
O2027060412,2027-06-05 20:44,P0110,3,11400,배송 완료
O2027060413,2027/06/12 07:01,P0139,4,41400,배송 완료
O2027060414,2027.06.19 18:18,P0169,5,86400,결제 완료
O2027060415,06/26/2027 05:35,P0198,1,102300,배송 완료
O2027060416,2027-06-03 16:52,P0228,2,26000,배송 완료
O2027060417,2027/06/10 03:09,P0257,3,70900,결제 완료
O2027060418,2027.06.17 14:26,P0287,4,95700,배송 완료
O2027060419,06/24/2027 01:43,P0316,5,149800,배송 완료
O2027060420,2027-06-01 12:00,P0021,1,29100,결제 완료
O2027060421,2027/06/08 23:17,P0050,2,72400,배송 완료
O2027060422,2027.06.15 10:34,P0080,3,93700,배송 완료
O2027060423,06/22/2027 21:51,P0109,4,10000,결제 완료
O2027060424,2027-06-29 08:08,P0138,5,39300,배송 완료
O2027060425,2027/06/06 19:25,P0168,1,83400,배송 완료
O2027060426,2027.06.13 06:42,P0197,2,136700,결제 완료
O2027060427,06/20/2027 17:59,P0227,3,24300,배송 완료
O2027060428,2027-06-27 04:16,P0256,4,68100,배송 완료
O2027060429,2027/06/04 15:33,P0286,5,92300,결제 완료
O2027060430,2027.06.11 02:50,P0315,1,145400,배송 완료
O2027060431,06/18/2027 13:07,P0020,2,27400,배송 완료
O2027060432,2027-06-25 00:24,P0049,3,69500,결제 완료
O2027060433,2027/06/02 11:41,P0079,4,90400,배송 완료
O2027060434,2027.06.09 22:58,P0108,5,8500,배송 완료
O2027060435,06/16/2027 09:15,P0137,1,37200,결제 완료
